true_value,predicted_value,model_used,inference_time,energy
4.0,14.553097886707643,linear,0.0007789134979248,5188.0
30.0,13.590422924530628,linear,0.0008890628814697,0.0
22.0,28.5793749561278,linear,0.0009081363677978,7141.0
10.0,14.776818199328254,linear,0.0010967254638671,7507.0
14.0,15.741026204440738,linear,0.0008502006530761,0.0
29.0,17.227465614061394,linear,0.0011227130889892,5432.0
26.0,22.815834391601875,linear,0.0006287097930908,0.0
10.0,19.035990081678765,linear,0.0013580322265625,5798.0
1.0,12.619929963083896,linear,0.00114107131958,6104.0
5.0,13.15725663965197,linear,0.00108003616333,2807.0
0.0,15.157357917351517,linear,0.0012049674987792,4517.0
10.0,9.98584860087407,linear,0.0011103153228759,5860.0
1.0,17.670192571041643,linear,0.0010967254638671,7996.0
5.0,11.008407277361092,linear,0.0013160705566406,7508.0
13.0,17.24128153772677,linear,0.0010085105895996,0.0
27.0,16.87634021236172,linear,0.0015881061553955,8728.0
29.0,22.686422703446333,linear,0.000873327255249,4761.0
13.0,21.192020939447065,linear,0.0012996196746826,5615.0
0.0,13.449523056057064,linear,0.001230239868164,5188.0
1.0,11.206384573228124,linear,0.0008869171142578,5859.0
12.0,11.999932316468945,linear,0.0015029907226562,10010.0
17.0,16.766786626590278,linear,0.0017261505126953,7935.0
16.0,17.822536335184566,linear,0.0008494853973388,7019.0
8.0,18.57459210194303,linear,0.0011212825775146,3967.0
10.0,15.109470898293464,linear,0.0007436275482177,6287.0
0.0,16.57732841310428,linear,0.0011405944824218,5188.0
5.0,8.770974453179162,linear,0.0012886524200439,3418.0
25.0,14.82018918704777,linear,0.0015156269073486,5188.0
0.0,23.104803872403963,linear,0.0009601116180419,7446.0
11.0,7.061161237539019,linear,0.0007023811340332,11292.0
13.0,21.305526572517007,linear,0.0013506412506103,9522.0
15.0,14.035455529538371,linear,0.0016238689422607,7813.0
7.0,18.50504588133329,linear,0.0009698867797851,5494.0
15.0,11.810873979729632,linear,0.0008869171142578,6042.0
24.0,18.76498440231603,linear,0.0008316040039062,2990.0
8.0,22.08289564299078,linear,0.0006446838378906,6226.0
25.0,10.795568316875112,linear,0.0007848739624023,0.0
13.0,24.987398391706844,linear,0.0011942386627197,5554.0
8.0,12.100485498611013,linear,0.0009582042694091,5188.0
17.0,16.375474079060194,linear,0.0012083053588867,6287.0
4.0,18.17002156636193,linear,0.0013556480407714,5249.0
15.0,10.420585998003252,linear,0.0011343955993652,53223.0
7.0,21.667553106803965,linear,0.0015263557434082,4394.0
1.0,10.62455183379245,linear,0.0009012222290039,13123.0
20.0,13.95132687703082,linear,0.0010926723480224,0.0
7.0,22.134387872766087,linear,0.0011458396911621,7690.0
9.0,10.010039232488827,linear,0.0011820793151855,5799.0
14.0,18.28824687401796,linear,0.0013151168823242,4639.0
30.0,15.885967241942488,linear,0.0010750293731689,4028.0
12.0,25.433375762805674,linear,0.001054048538208,3601.0
5.0,11.599169945490203,linear,0.0009520053863525,3479.0
5.0,13.84410271685215,linear,0.0007250308990478,0.0
21.0,13.96997856106421,linear,0.0009756088256835,5982.0
28.0,21.52897078479784,linear,0.0010814666748046,5921.0
9.0,20.960128102123544,linear,0.0009660720825195,6469.0
4.0,12.031461118901156,linear,0.0014407634735107,7019.0
9.0,15.885259095650824,linear,0.0016436576843261,9826.0
4.0,15.325538815058094,linear,0.0010743141174316,5798.0
12.0,11.41742986722193,linear,0.0010688304901123,5004.0
3.0,17.424601119870644,linear,0.0013215541839599,4822.0
2.0,11.197791796196858,linear,0.0010528564453125,5920.0
7.0,15.472342176292557,linear,0.0014476776123046,7263.0
20.0,14.623866573552863,linear,0.0013017654418945,7080.0
25.0,20.23838282262312,linear,0.0007593631744384,6103.0
1.0,20.629039984413478,linear,0.0010199546813964,5738.0
3.0,8.024189683500943,linear,0.0012564659118652,9216.0
9.0,15.886737521917455,linear,0.0011177062988281,5310.0
3.0,14.15348153283805,linear,0.0004475116729736,0.0
1.0,11.26725433732886,linear,0.001072883605957,8300.0
12.0,12.34716304825824,linear,0.001028299331665,5371.0
14.0,18.626761910866254,linear,0.00079345703125,0.0
18.0,17.740265416473427,linear,0.0015051364898681,9583.0
14.0,18.544756474191217,linear,0.0006284713745117,22644.0
12.0,15.114076237991531,linear,0.0007879734039306,4394.0
18.0,16.52025658707469,linear,0.0006458759307861,4211.0
10.0,18.60093576385687,linear,0.0009331703186035,14770.0
12.0,12.61560193051363,linear,0.0010898113250732,7081.0
10.0,17.526349768585845,linear,0.0010266304016113,6103.0
7.0,14.536111808558465,linear,0.001500129699707,9705.0
15.0,14.804153012770014,linear,0.0016591548919677,9643.0
8.0,18.712691465856302,linear,0.0014410018920898,8972.0
9.0,12.65616593697043,linear,0.0016322135925292,10804.0
15.0,16.934749998489647,linear,0.0008752346038818,5188.0
22.0,17.46059289537603,linear,0.0009005069732666,6958.0
18.0,20.49455884675981,linear,0.000906229019165,5982.0
11.0,17.09163518176703,linear,0.0009825229644775,3845.0
17.0,14.776776211478351,linear,0.0013961791992187,5982.0
35.0,19.49124385711456,linear,0.0013141632080078,5920.0
20.0,25.87464137954449,linear,0.0009829998016357,4639.0
9.0,14.637964147058575,linear,0.0013139247894287,7385.0
13.0,15.318080811544045,linear,0.0009405612945556,5493.0
4.0,17.638250204397924,linear,0.001127004623413,9827.0
14.0,11.463533342408514,linear,0.0011584758758544,6103.0
21.0,19.07421976575441,linear,0.001288890838623,5860.0
19.0,18.88378299918402,linear,0.0013067722320556,5066.0
20.0,20.111535430856467,linear,0.0011584758758544,6531.0
23.0,19.93878967404595,linear,0.0008847713470458,8911.0
23.0,19.616317588064877,linear,0.0011622905731201,14038.0
17.0,19.744670404771423,linear,0.0010607242584228,3601.0
9.0,16.01715865791164,linear,0.0009334087371826,5554.0
19.0,14.03280479453668,linear,0.0012331008911132,15319.0
36.0,21.093298068100754,linear,0.0007722377777099,12756.0
22.0,26.199210528508196,linear,0.0008840560913085,12207.0
12.0,16.472458892760066,linear,0.0012686252593994,4455.0
1.0,16.808221254614228,linear,0.0010855197906494,3418.0
9.0,10.930623627811146,linear,0.0013031959533691,11169.0
10.0,17.2583151572046,linear,0.0015015602111816,5920.0
22.0,13.66951524882571,linear,0.0015180110931396,5493.0
17.0,22.200247557533757,linear,0.0012204647064208,5676.0
1.0,17.751972914258086,linear,0.0014510154724121,6592.0
3.0,11.518089714666546,linear,0.0014355182647705,6042.0
15.0,14.274644614459092,linear,0.0011491775512695,4456.0
8.0,17.35720979867504,linear,0.0010325908660888,5799.0
15.0,12.674102547097414,linear,0.0014333724975585,8423.0
15.0,19.35886434530572,linear,0.0009574890136718,5371.0
4.0,16.97972951022207,linear,0.001169204711914,5860.0
2.0,12.743429113788276,linear,0.0011146068572998,0.0
7.0,12.30623251691969,linear,0.0010175704956054,5493.0
9.0,14.18339035718832,linear,0.0008800029754638,35523.0
11.0,15.615199724822077,linear,0.0008883476257324,3845.0
21.0,16.0107039792165,linear,0.0013115406036376,6408.0
11.0,21.17120104247976,linear,0.0013513565063476,6348.0
2.0,13.887812911843444,linear,0.0012586116790771,8606.0
3.0,12.087156646308165,linear,0.0011398792266845,7446.0
12.0,12.623398773083355,linear,0.0011630058288574,5798.0
17.0,17.097984151842464,linear,0.0011587142944335,5126.0
8.0,17.96247799944831,linear,0.0004370212554931,0.0
3.0,13.180699272459051,linear,0.000788927078247,2991.0
9.0,14.106115089798184,linear,0.0010125637054443,6408.0
1.0,16.226324189789498,linear,0.001063585281372,6653.0
7.0,9.679425256949434,linear,0.0014581680297851,10010.0
22.0,15.89038043704757,linear,0.0009627342224121,6836.0
22.0,21.2892487571904,linear,0.0010609626770019,5127.0
2.0,19.488395480551247,linear,0.0014975070953369,7629.0
14.0,9.858689620837138,linear,0.0014150142669677,9644.0
6.0,19.762288393360947,linear,0.0011737346649169,7386.0
1.0,10.67912924300769,linear,0.001267671585083,4456.0
17.0,12.340432184797065,linear,0.0013012886047363,5615.0
33.0,19.801550699719733,linear,0.001096487045288,6104.0
24.0,25.53541230933061,linear,0.001204490661621,7935.0
9.0,19.236604257326505,linear,0.0010216236114501,6714.0
16.0,12.90743832495633,linear,0.0010602474212646,5127.0
2.0,19.511678518207912,linear,0.0011298656463623,0.0
15.0,8.651699732238349,linear,0.0009193420410156,5249.0
5.0,19.89443992526917,linear,0.0015385150909423,4822.0
24.0,10.06408884755095,linear,0.0015032291412353,4944.0
20.0,27.01319465593711,linear,0.0007684230804443,6104.0
5.0,16.65473749311137,linear,0.0008821487426757,0.0
15.0,12.2751721582904,linear,0.0006170272827148,0.0
10.0,19.96957784574322,linear,0.000974416732788,4822.0
4.0,12.17887042121355,linear,0.0010461807250976,7629.0
7.0,13.820400279094253,linear,0.0010242462158203,10193.0
20.0,14.230673575706152,linear,0.0006051063537597,0.0
37.0,21.641297759007628,linear,0.0006918907165527,6774.0
19.0,27.511793522284947,linear,0.0007929801940917,8301.0
0.0,13.832999719975168,linear,0.0013372898101806,4944.0
3.0,11.301865541152532,linear,0.0008337497711181,0.0
1.0,13.942476030368434,linear,0.0011663436889648,5554.0
11.0,10.309741677683784,linear,0.0010676383972167,5676.0
26.0,17.379483022926873,linear,0.0010786056518554,4822.0
30.0,22.824683933394567,linear,0.0010361671447753,4882.0
27.0,24.471146553693156,linear,0.0009224414825439,4029.0
12.0,21.719333926885547,linear,0.001415729522705,10498.0
10.0,12.694836925805893,linear,0.001338243484497,7995.0
5.0,15.457172866957173,linear,0.0011038780212402,23743.0
26.0,11.231316178329886,linear,0.0014834403991699,11719.0
26.0,24.603144375534743,linear,0.0011088848114013,38941.0
14.0,19.612150334796684,linear,0.0006155967712402,0.0
19.0,17.135207491644884,linear,0.001101016998291,8301.0
19.0,21.049639674439085,linear,0.0011732578277587,6347.0
5.0,17.231441211104453,linear,0.0010325908660888,5616.0
3.0,11.339129137178606,linear,0.0011725425720214,6348.0
10.0,12.778883196529868,linear,0.0014126300811767,5249.0
17.0,17.043510694537993,linear,0.0013062953948974,5249.0
7.0,19.650849648690865,linear,0.001044750213623,5555.0
6.0,12.338645598630944,linear,0.0008203983306884,5066.0
0.0,15.531267214392685,linear,0.0012226104736328,4333.0
13.0,11.279176135956634,linear,0.0007891654968261,0.0
7.0,18.908830915540737,linear,0.0008893013000488,13977.0
17.0,11.250451965451688,linear,0.0009536743164062,30701.0
22.0,20.90322237558939,linear,0.0013525485992431,9156.0
2.0,19.74339210590726,linear,0.0011241436004638,6958.0
22.0,9.365215627730006,linear,0.0010926723480224,5676.0
11.0,24.458220531235444,linear,0.0010108947753906,6836.0
11.0,10.120098956153546,linear,0.001096487045288,6958.0
11.0,18.359614984055867,linear,0.0012018680572509,6165.0
7.0,14.312816346992491,linear,0.0013046264648437,9155.0
14.0,14.35052597363926,linear,0.0012838840484619,5920.0
4.0,19.276152624968027,linear,0.0011732578277587,5126.0
4.0,9.820367255245175,linear,0.0004236698150634,0.0
0.0,15.607558051202002,linear,0.0013012886047363,5799.0
15.0,10.764746651585384,linear,0.0009741783142089,5249.0
25.0,20.274229840066635,linear,0.0009670257568359,5188.0
0.0,20.86915312897321,linear,0.0008435249328613,10254.0
19.0,7.513447919608283,linear,0.0006294250488281,0.0
10.0,24.705832561657637,linear,0.0009472370147705,6653.0
1.0,10.42249062712679,linear,0.0012652873992919,10925.0
1.0,12.5835433139174,linear,0.0008764266967773,5799.0
6.0,11.264006615790796,linear,0.0010261535644531,8057.0
8.0,15.039051052773988,linear,0.0008471012115478,6530.0
6.0,16.246671524308073,linear,0.0011191368103027,3906.0
12.0,12.785187736828108,linear,0.0009810924530029,4333.0
12.0,18.210022883445347,linear,0.0010499954223632,4455.0
4.0,15.817935512147208,linear,0.0011007785797119,32898.0
16.0,11.757398357507876,linear,0.0009891986846923,7934.0
30.0,19.51405162096773,linear,0.00164794921875,9033.0
7.0,23.05227144876523,linear,0.0009269714355468,7263.0
23.0,9.954037556803,linear,0.0008919239044189,0.0
7.0,24.69761727130371,linear,0.0007362365722656,3784.0
9.0,8.943302617752387,linear,0.0010879039764404,8911.0
11.0,18.166053232918152,linear,0.0011200904846191,7691.0
6.0,13.81707129354537,linear,0.0014162063598632,5677.0
2.0,13.60455860855862,linear,0.0011112689971923,6530.0
11.0,14.091021607799124,linear,0.0013027191162109,5799.0
4.0,16.795513863951097,linear,0.0010216236114501,5493.0
6.0,12.31312547367089,linear,0.0016062259674072,8545.0
8.0,15.327744613649042,linear,0.0012183189392089,6897.0
15.0,14.298232281171986,linear,0.0011420249938964,6409.0
24.0,18.735236022683218,linear,0.001138687133789,7324.0
20.0,21.027606239980173,linear,0.0011999607086181,5615.0
14.0,17.09696057254421,linear,0.0011146068572998,9705.0
9.0,16.704619582655575,linear,0.0007438659667968,3174.0
2.0,13.912384066360229,linear,0.0015265941619873,3479.0
25.0,11.213804786690265,linear,0.0014040470123291,9826.0
22.0,24.484910618036977,linear,0.0008668899536132,3540.0
15.0,16.776127886554974,linear,0.0009264945983886,5798.0
2.0,18.431418407906445,linear,0.0008900165557861,6226.0
3.0,11.09612713941151,linear,0.001157522201538,5799.0
2.0,14.206320140334633,linear,0.0008871555328369,8789.0
2.0,11.55231850663688,linear,0.0018792152404785,9949.0
3.0,11.97330527544277,linear,0.0013892650604248,5188.0
8.0,14.274699026844864,linear,0.0007104873657226,0.0
2.0,16.679328770290528,linear,0.0010900497436523,5433.0
2.0,11.857203865315128,linear,0.0011601448059082,5493.0
8.0,12.991918503940608,linear,0.0008189678192138,4211.0
14.0,15.115940921322222,linear,0.0009751319885253,5004.0
12.0,17.159209730235894,linear,0.0008492469787597,6958.0
6.0,15.210874347785852,linear,0.0008406639099121,4821.0
5.0,13.126927312312835,linear,0.0010581016540527,0.0
1.0,14.052130371893815,linear,0.0010292530059814,4639.0
2.0,11.04420729172399,linear,0.000962495803833,0.0
8.0,12.672808241056392,linear,0.001246690750122,4761.0
4.0,15.420019916197528,linear,0.0009827613830566,5859.0
1.0,12.83747262674712,linear,0.0010571479797363,5005.0
